BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.1	1.1	0
2	1.1	1.1	4.21468e-09
3	1.1	1.1	3.44128e-09
4	1.1	1.1	2.98023e-09
5	1.1	1.1	2.6656e-09
6	1.1	1.1	2.43335e-09
7	1.1	1.1	2.25284e-09
8	1.1	1.1	2.10734e-09
9	1.1	1.1	1.98682e-09
10	1.1	1.1	4.31877e-09
11	1.1	1.1	4.11778e-09
12	1.1	1.1	3.94248e-09
13	1.1	1.1	3.78781e-09
14	1.1	1.1	3.65002e-09
15	1.1	1.1	3.52626e-09
16	1.1	1.1	3.41428e-09
17	1.1	1.1	3.31234e-09
18	1.1	1.1	3.21902e-09
19	1.1	1.1	3.13316e-09
20	1.1	1.1	3.05383e-09
21	1.1	1.1	2.98023e-09
22	1.1	1.1	4.30941e-09
23	1.1	1.1	4.21468e-09
24	1.1	1.1	4.12594e-09
25	1.1	1.1	4.04258e-09
26	1.1	1.1	3.96408e-09
27	1.1	1.1	2.62832e-09
28	1.1	1.1	2.58096e-09
29	1.1	1.1	1.10683e-09
30	1.1	1.1	1.08823e-09
31	1.1	1.1	2.88249e-09
32	1.1	1.1	2.8371e-09
33	1.1	1.1	2.79378e-09
34	1.1	1.1	3.75584e-09
35	1.1	1.1	3.7018e-09
36	1.1	1.1	3.65002e-09
37	1.1	1.1	4.35475e-09
38	1.1	1.1	4.29706e-09
39	1.1	1.1	4.24162e-09
40	1.1	1.1	4.18826e-09
41	1.1	1.1	4.74651e-09
42	1.1	1.1	4.68967e-09
43	1.1	1.1	4.63482e-09
44	1.1	1.1	4.58185e-09
45	1.1	1.1	4.53065e-09
46	1.1	1.1	4.99075e-09
47	1.1	1.1	4.93737e-09
48	1.1	1.1	4.88567e-09
49	1.1	1.1	4.83556e-09
50	1.1	1.1	4.78696e-09
51	1.1	1.1	4.7398e-09
52	1.1	1.1	5.12872e-09
53	1.1	1.1	5.0801e-09
54	1.1	1.1	5.03285e-09
55	1.1	1.1	4.98688e-09
56	1.1	1.1	4.94216e-09
57	1.1	1.1	4.89861e-09
58	1.1	1.1	4.8562e-09
59	1.1	1.1	4.81487e-09
60	1.1	1.1	5.14756e-09
61	1.1	1.1	5.10519e-09
62	1.1	1.1	5.06385e-09
63	1.1	1.1	5.0235e-09
64	1.1	1.1	4.9841e-09
65	1.1	1.1	4.94561e-09
66	1.1	1.1	4.908e-09
67	1.1	1.1	4.87124e-09
68	1.1	1.1	4.83529e-09
69	1.1	1.1	4.80012e-09
70	1.1	1.1	5.08764e-09
71	1.1	1.1	5.05168e-09
72	1.1	1.1	5.01648e-09
73	1.1	1.1	4.982e-09
74	1.1	1.1	4.94822e-09
75	1.1	1.1	4.91512e-09
76	1.1	1.1	4.88268e-09
77	1.1	1.1	4.85087e-09
78	1.1	1.1	4.81968e-09
79	1.1	1.1	4.78908e-09
80	1.1	1.1	4.75905e-09
81	1.1	1.1	4.72958e-09
82	1.1	1.1	4.70065e-09
83	1.1	1.1	4.67225e-09
84	1.1	1.1	4.64436e-09
85	1.1	1.1	4.61696e-09
86	1.1	1.1	4.86316e-09
87	1.1	1.1	4.83513e-09
88	1.1	1.1	4.80758e-09
89	1.1	1.1	4.78049e-09
90	1.1	1.1	4.75386e-09
91	1.1	1.1	4.72767e-09
92	1.1	1.1	4.70191e-09
93	1.1	1.1	4.67656e-09
94	1.1	1.1	4.65162e-09
95	1.1	1.1	4.62707e-09
96	1.1	1.1	4.60291e-09
97	1.1	1.1	4.57912e-09
98	1.1	1.1	4.5557e-09
99	1.1	1.1	4.53263e-09
100	1.1	1.1	4.50991e-09
101	1.1	1.1	4.48753e-09
102	1.1	1.1	4.46548e-09
103	1.1	1.1	4.44375e-09
104	1.1	1.1	4.42233e-09
105	1.1	1.1	4.40122e-09
106	1.1	1.1	4.38041e-09
107	1.1	1.1	4.35989e-09
108	1.1	1.1	4.09594e-09
109	1.1	1.1	4.07711e-09
110	1.1	1.1	3.80172e-09
111	1.1	1.1	3.78456e-09
112	1.1	1.1	3.49463e-09
113	1.1	1.1	3.47913e-09
114	1.1	1.1	3.17024e-09
115	1.1	1.1	3.15643e-09
116	1.1	1.1	2.82188e-09
117	1.1	1.1	2.80979e-09
118	1.1	1.1	2.4385e-09
119	1.1	1.1	1.33839e-09
120	1.1	1.1	2.72057e-10
121	1.1	1.1	2.02746e-09
122	1.1	1.1	2.42836e-09
123	1.1	1.1	3.13377e-09
124	1.1	1.1	3.12111e-09
125	1.1	1.1	3.91762e-09
126	1.1	1.1	3.90204e-09
127	1.1	1.1	4.54982e-09
128	1.1	1.1	4.53201e-09
129	1.1	1.1	4.51441e-09
130	1.1	1.1	5.06842e-09
131	1.1	1.1	5.04904e-09
132	1.1	1.1	5.53918e-09
133	1.1	1.1	5.51832e-09
134	1.1	1.1	5.8198e-09
135	1.1	1.1	5.93835e-09
136	1.1	1.1	5.91648e-09
137	1.1	1.1	6.1899e-09
138	1.1	1.1	6.29652e-09
139	1.1	1.1	6.54793e-09
140	1.1	1.1	6.5245e-09
141	1.1	1.1	6.62133e-09
142	1.1	1.1	6.85371e-09
143	1.1	1.1	6.82971e-09
144	1.1	1.1	6.91831e-09
145	1.1	1.1	7.13455e-09
146	1.1	1.1	7.11008e-09
147	1.1	1.1	7.08585e-09
148	1.1	1.1	7.39398e-09
149	1.1	1.1	7.36913e-09
150	1.1	1.1	7.56298e-09
151	1.1	1.1	7.63481e-09
152	1.1	1.1	7.60966e-09
153	1.1	1.1	7.58475e-09
154	1.1	1.1	7.76704e-09
155	1.1	1.1	7.83392e-09
156	1.1	1.1	7.80877e-09
157	1.1	1.1	7.98122e-09
158	1.1	1.1	7.95593e-09
159	1.1	1.1	8.01843e-09
160	1.1	1.1	8.18208e-09
161	1.1	1.1	8.15663e-09
162	1.1	1.1	8.13142e-09
163	1.1	1.1	8.19003e-09
164	1.1	1.1	8.34543e-09
165	1.1	1.1	8.3201e-09
166	1.1	1.1	8.295e-09
167	1.1	1.1	8.52349e-09
168	1.1	1.1	8.49808e-09
169	1.1	1.1	8.4729e-09
170	1.1	1.1	8.44794e-09
171	1.1	1.1	8.66635e-09
172	1.1	1.1	8.64112e-09
