BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.2	1.2	0
2	1.2	1.2	2.10734e-09
3	1.2	1.2	1.72064e-09
4	1.2	1.2	1.49012e-09
5	1.2	1.2	1.3328e-09
6	1.2	1.2	9.50253e-09
7	1.2	1.2	8.79764e-09
8	1.2	1.2	8.22944e-09
9	1.2	1.2	7.75879e-09
10	1.2	1.2	7.36063e-09
11	1.2	1.2	7.01809e-09
12	1.2	1.2	6.71931e-09
13	1.2	1.2	6.4557e-09
14	1.2	1.2	6.22087e-09
15	1.2	1.2	7.69493e-10
16	1.2	1.2	7.45058e-10
17	1.2	1.2	7.22812e-10
18	1.2	1.2	5.3956e-09
19	1.2	1.2	5.25169e-09
20	1.2	1.2	5.11872e-09
21	1.2	1.2	4.99536e-09
22	1.2	1.2	6.93126e-09
23	1.2	1.2	6.77891e-09
24	1.2	1.2	6.63618e-09
25	1.2	1.2	6.5021e-09
26	1.2	1.2	6.37583e-09
27	1.2	1.2	6.25665e-09
28	1.2	1.2	7.53525e-09
29	1.2	1.2	7.40419e-09
30	1.2	1.2	7.27974e-09
31	1.2	1.2	7.16136e-09
32	1.2	1.2	7.04858e-09
33	1.2	1.2	6.94096e-09
34	1.2	1.2	6.83813e-09
35	1.2	1.2	6.73973e-09
36	1.2	1.2	6.64546e-09
37	1.2	1.2	6.55505e-09
38	1.2	1.2	6.46822e-09
39	1.2	1.2	7.37763e-09
40	1.2	1.2	7.28482e-09
41	1.2	1.2	7.19544e-09
42	1.2	1.2	7.10926e-09
43	1.2	1.2	7.02611e-09
44	1.2	1.2	6.94581e-09
45	1.2	1.2	6.8682e-09
46	1.2	1.2	6.79313e-09
47	1.2	1.2	6.72048e-09
48	1.2	1.2	6.6501e-09
49	1.2	1.2	6.5819e-09
50	1.2	1.2	6.51574e-09
51	1.2	1.2	6.45155e-09
52	1.2	1.2	6.38921e-09
53	1.2	1.2	6.32865e-09
54	1.2	1.2	6.26978e-09
55	1.2	1.2	5.37645e-09
56	1.2	1.2	5.32823e-09
57	1.2	1.2	4.30612e-09
58	1.2	1.2	4.26884e-09
59	1.2	1.2	2.98023e-09
60	1.2	1.2	2.95529e-09
61	1.2	1.2	3.8158e-10
62	1.2	1.2	3.7849e-10
63	1.2	1.2	2.93255e-09
64	1.2	1.2	2.90954e-09
65	1.2	1.2	2.88708e-09
66	1.2	1.2	4.03525e-09
67	1.2	1.2	4.00503e-09
68	1.2	1.2	3.97547e-09
69	1.2	1.2	4.82686e-09
70	1.2	1.2	4.79226e-09
71	1.2	1.2	4.75839e-09
